Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
BLACK POMFRET 500/800 (40),CA CHIM DEN,F0058,POMFRET,$3.00 ,1 X 40 LB,VIETNAM,WILD,40,IWP,Bulk,120
BLACK POMFRET 800/UP (40),CA CHIM DEN,F0059,POMFRET,$3.20 ,1 X 40 LB,VIETNAM,WILD,40,IWP,Bulk,128
GOLDEN POMFRET 400/600 (40),CA CHIM VANG,F0050,POMFRET,$3.00 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,120
GOLDEN POMFRET 600/800 (40),CA CHIM VANG,F0051,POMFRET,$3.10 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,124
GOLDEN POMFRET 800/UP (40),CA CHIM VANG,F0052,POMFRET,$3.30 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,132
GOLDEN POMFRET 900/UP(40),CA CHIM VANG,F0053,POMFRET,$3.70 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,148
GOLDEN POMFRET1100/UP (40),CA CHIM VANG,F0054,POMFRET,$3.95 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,158
FROG LEGS 2/4 BOX (30),DUI ECH CHINA,F1081,FROG LEGS,$4.80 ,6 X 5 LB,CHINA,FARMED,30,Box,Bulk,144
FROG LEGS 2/4 VN (30),DUI ECH,F1091,FROG LEGS,$4.80 ,6 X 5 LB,VIETNAM,FARMED,30,Box,Bulk,144
FROG LEGS 4/6 BOX (30),DUI ECH CHINA,F1082,FROG LEGS,OOS,6 X 5 LB,CHINA,FARMED,30,Box,Bulk,#N/A
FROG LEGS 4/6 R/P (30x16),DUI ECH CHINA,F1086,FROG LEGS,$6.00 ,30 X 16 OZ,CHINA,FARMED,30,VP,Retail,180
FROG LEGS 4/6 VN (30),DUI ECH,F1092,FROG LEGS,$5.30 ,6 X 5 LB,VIETNAM,FARMED,30,Box,Bulk,159
FROG LEGS 6/8 BOX (30),DUI ECH CHINA,F1083,FROG LEGS,$4.90 ,6 X 5 LB,CHINA,FARMED,30,Box,Bulk,147
FROG LEGS 6/8 VN (30),DUI ECH,F1093,FROG LEGS,$5.00 ,6 X 5 LB,VIETNAM,FARMED,30,Box,Bulk,150
FROG LEGS 8/12 BOX (30),DUI ECH CHINA,F1084,FROG LEGS,$4.90 ,6 X 5 LB,CHINA,FARMED,30,Box,Bulk,147
FROG SECTIONS IN SPICY SAUCE (,DUI ECH CHINA,F1088,FROG LEGS,$4.00 ,20 X 1.1LB,CHINA,FARMED,22,VP,Retail,88
