Product Description,Vietnamese,Item #,Category,Unit Price,Packaging,Origin,Method,Weight (lbs),Pack,Pack Type,Case price
JACK CREVALLE 2-4 (25),CA JACK,F0351,JACK FISH,$1.70 ,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,42.5
LADY FISH H&G 1-2# (25),CA LINH LON,F0511,LADY FISH,$2.30 ,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,57.5
LADYFISH MEAT (25),CHA CA LINH,F0109,LADY FISH,$3.50 ,5 X 5 LB,MEXICO,WILD,25,Bulk,Bulk,87.5
HORSE MACKEREL (30),CA SONG,F0347,MACKEREL,$1.80 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,54
INDIAN MACKEREL LRG (30),CA BAC MA,F0340,MACKEREL,$1.90 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,57
INDIAN MACKEREL MED (30),CA BAC MA,F0341,MACKEREL,$1.80 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,54
KING MACKEREL WR 5-10 (60),0,F03686,MACKEREL,$3.60 ,1 X 60 LB,VENEZUELA,WILD,60,Bulk,Bulk,#N/A
MACKEREL PIKE -  65/75 (21),CA THU NHO,F03701,MACKEREL,$2.00 ,1 X 21 LB,TAIWAN,WILD,21,Bulk,Bulk,#N/A
STM GUTTED MACKEREL 2P (30),CA HAP,F0141,MACKEREL,$2.65 ,30 X 8 OZ,VIETNAM,WILD,15,Bag,Retail,79.5
STM GUTTED MACKEREL 3P (30),CA HAP,F0142,MACKEREL,$2.65 ,30 X 8 OZ,VIETNAM,WILD,15,Bag,Retail,79.5
MILK FISH 1200/1500 (40),CA MANG,F0614,MILK FISH,$2.70 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,108
MILK FISH 600/800 (40),CA MANG,F0612,MILK FISH,$2.50 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,100
MILK FISH 800/1200 (40),CA MANG,F0613,MILK FISH,$2.60 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,104
MUDFISH 200/300 (15x2),CA LOC NHO,F0260,MUDFISH,$3.60 ,15 X 2 LB,VIETNAM,FARMED,30,VP,Retail,108
MUDFISH STEAK (30),CA LOC KHOANH BO DAU,F0266,MUDFISH,$4.10 ,30 X 16 OZ,VIETNAM,FARMED,30,VP,Retail,123
MUDFISH WHL 800/1000g (33),CA LOC NGUYEN CON,F0267,MUDFISH,$3.60 ,1 X 33 LB,VIETNAM,FARMED,33,VP,Bulk,118.8
MUDFISH WHL 1000g/Up (33),CA LOC NGUYEN CON,F0268,MUDFISH,$3.80 ,1 X 33 LB,VIETNAM,FARMED,,VP,Bulk,125.4
BABY MULLET W/R (20x1.5),CA DOI NHO NGUYEN CON,F0320,MULLET FISH,$3.00 ,20 X 1.5#,VIETNAM,WILD,30,VP,Retail,90
MULLET FISH 800/1200 (25),CA DOI MY,F0325,MULLET FISH,$2.40 ,1 X 25 LB,USA,WILD,25,Bulk,Bulk,60
MULLET W/R IVP 600/800 (40),CA DOI NGUYEN CON,F0321,MULLET FISH,$2.40 ,1 X 40 LB,CHINA,WILD,40,VP,Bulk,96
PARROT GOBY FISH 1200/1500,CA MO,F0567,PARROT FISH,$3.85 ,1 X 33 LB,VIETNAM',WILD,33,VP,Bulk,127.05
PARROT GOBY FISH 500/800,CA MO,F0565,PARROT FISH,$3.35 ,1 X 33 LB,VIETNAM,WILD,33,VP,Bulk,110.55
PARROT GOBY FISH 800/1200,CA MO,F0566,PARROT FISH,$3.55 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,117.15
GIANT SEA PERCH 1000/1200 (40),CA CHEM,F0645,PERCH,$2.90 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,116
GIANT SEA PERCH 600/800 (40) B,CA CHEM,F0643,PERCH,$2.80 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,112
GIANT SEA PERCH 800/1000 (40),CA CHEM,F0644,PERCH,$3.00 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,120
CLIMBING PERCH CLN (30),CA RO LAM SACH,F0205,PERCH,$2.95 ,30 X 14 OZ,VIETNAM,FARMED,26.25,VP,Retail,88.5
RABBIT FISH 200/300 (30),CA KINH/ CA DIA,F0661,RABBIT FISH,$3.90 ,15 X 2 LB,INDONESIA,WILD,30,Bag,Retail,117
RABBIT FISH 300/500 (30),CA KINH/ CA DIA,F0662,RABBIT FISH,$3.90 ,15 X 2 LB,INDONESIA,WILD,30,Bag,Retail,117
RABBIT FISH 500/800,CA KINH/ CA DIA,F0663,RABBIT FISH,$4.20 ,1 X 33 LB,INDONESIA,WILD,33,Bag,Retail,138.6
RED DRUM 1000/1200 IWP (40),CA DU SOC,F0434,RED DRUM,$3.00 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,120
RED DRUM 600/800 IWP (40),CA DU SOC,F0432,RED DRUM,$2.95 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,118
RED DRUM 800/1000 IWP (40),CA DU SOC,F0433,RED DRUM,$3.00 ,1 X 40 LB,TAIWAN,FARMED,40,IWP,Bulk,120
ROHU 600/800 (40),CA TROI DEN,F0126,ROHU,$2.50 ,1 X 40 LB,THAILAND,FARMED,40,VP,Bulk,100
ROHU 800/1200 (40),CA TROI DEN,F0127,ROHU,$2.60 ,1 X 40 LB,THAILAND,FARMED,40,VP,Bulk,104
ROHU1200/1500 (40),CA TROI DEN,F0128,ROHU,$2.60 ,1 X 40 LB,THAILAND,FARMED,40,VP,Bulk,104
BABY ROUNDSCAD (15x2) RND,CA NUC THUON NHO,F0349,SCAD,OOS,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,#N/A
BIG EYE SCAD (30),CA TRAO,F0346,SCAD,$1.80 ,15 X 2 LB,MYANMAR,WILD,30,Bag,Retail,54
RED BIG-EYE SCAD 4/6 (30),CA MAT KIENG,F2305,SCAD,$1.95 ,15 X 2 LB,INDIA,WILD,30,VP,Retail,58.5
ROUNDSCAD - THUON (30),CA NUC THUON ,F0363,SCAD,$2.00 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,60
ROUNDSCAD BULK 300/500,CA NUC NGUYEN CON,F03671,SCAD,$1.80 ,1 X 33 LB,CHINA,WILD,33,Bulk,Bulk,#N/A
ROUNDSCAD REDTAIL (15x2),CA NUC XANH/ LUA,F0361,SCAD,$1.55 ,15 X 2 LB,CHINA,WILD,30,VP,Retail,46.5
YELLOWTAIL SCAD M (15x2),CA NGAN,F2362,SCAD,$1.80 ,15 X 2 LB,INDIA,WILD,30,VP,Retail,54
SMELT (SILVERSIDE) H&G RET (30,CA LONG TONG,F0456,SMELT,$3.40 ,30 X 16 OZ,PERU,WILD,30,Bag,Retail,102
SMELT (SILVERSIDE) H/O W/R IQF,CA LONG TONG,F0455,SMELT,$2.65 ,2 X 11 LB,CHILE,WILD,22,Bulk,Bulk,58.3
RED CRIMSON SNAPPER 1-2#,CA HONG,F0581,SNAPPER,$5.30 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,174.9
RED CRIMSON SNAPPER 2-4#,CA HONG,F0582,SNAPPER,$5.30 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,174.9
RED SNAPPER 1-2#,CA HONG,F0585,SNAPPER,$5.40 ,1 X 33 LB,VIETNAM,WILD,33,VP,Bulk,178.2
RED SNAPPER 2-4#,CA HONG,F0586,SNAPPER,$5.40 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,178.2
SPOTTED SNAPPER 1-2#,CA HONG,F0588,SNAPPER,OOS,1 X 33 LB,VIETNAM,WILD,,VP,Bulk,#N/A
SPOTTED SNAPPER 2-4#,CA HONG,F0589,SNAPPER,OOS,1 X 33 LB,VIETNAM,WILD,,VP,Bulk,#N/A
SWEETLIPS FISH 500/800,CA KEM,F0626,SWEETLIPS FISH,$2.80 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,92.4
SWEETLIPS FISH 800/1200,CA KEM,F0627,SWEETLIPS FISH,$2.90 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,95.7
THREADFIN FISH 300/500 (30),CA CHET,F0535,THREADFIN FISH,$3.50 ,15 X 2 LB,MYANMAR,WILD,30,VP,Retail,105
THREADFIN FISH 800/1000,CA CHET,F0537,THREADFIN FISH,OOS,1 X 33 LB,MYANMAR,WILD,,VP,Bulk,#N/A
THREADFIN FISH 1000/1200,CA CHET,F0538,THREADFIN FISH,OOS,1 X 33 LB,MYANMAR,WILD,,VP,Bulk,#N/A
AMBERJACK (HAMACHI) 2-4# (44.1,CA NGU,F0332,TUNA & AMBERJACK,OOS,1 X 44.1#,KOREA,WILD,44,Bulk,Bulk,#N/A
BABY BONITA/BULLET TUNA (30),CA NGU O,F0364,TUNA & AMBERJACK,$2.10 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,63
BONITO/SKIPJACK TUNA 2/4 (25),CA NGU MEXICO,F0333,TUNA & AMBERJACK,$1.45 ,1 X 25 LB,MEXICO,WILD,25,Bulk,Bulk,36.25
BANANA FISH (30),CA KHOAI SONG,F0240,BANANA FISH,$3.20 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,96
BELT FISH W/R 1000/1500 (22.05,CA HO NGUYEN CON,F0464,BELT FISH,$3.70 ,1 X 22.05#,VENESUELA,WILD,22,Bulk,Bulk,81.59
BOMBAY DUCK (30),CA KHOAI BIEN LAM SACH,F0245,BOMBAY DUCK,$3.10 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,93
GOURAMI FISH CLN (30),CA SAC LAM SACH,F0210,GOURAMI,$4.20 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,126
"LIZARD FISH 8/11"" (30)",CA MOI,F0681,LIZARD FISH,$2.80 ,15 X 2 LB,MYANMAR,WILD,30,VP,Retail,84
MOON FISH 4/6 (30),CA LUOI BUA,F0621,MOON FISH,$1.60 ,15 X 2 LB,VIETNAM,WILD,30,VP,Retail,48
SILK WORM (60),NHONG ,F0374,SILK WORM,$2.90 ,60 X 8 OZ,VIETNAM,WILD,30,VP,Retail,174
"SILVER SILLAGO W/R 7/9"" (30)",CA NUC NGUYEN CON,F0551,SILVER SILLAGO,$3.00 ,15 X 2 LB,MYANMAR,WILD,30,VP,Retail,90
SPOTTED SCAT FISH 100/300 (30),#N/A,F0655,SPOTTED SCAT FISH,OOS,15 X 2 LB,VIETNAM,WILD,,VP,Retail,#N/A
SQUIRREL FISH 200/300 (30),CA SON DO,F0500,SQUIRREL FISH,$2.40 ,15 X 2 LB,INDONESIA,WILD,30,VP,Retail,72
STRIPE BOTIA FISH (30),CA HEO,F0230,STRIPE BOTIA FISH,$2.30 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,69
UNICORN FISH 1500/2000g,CA KY LAN BIEN,F0484,UNICORN FISH,$3.00 ,1 X 33 LB,INDONESIA,WILD,33,VP,Bulk,99
YLW STRIPE TREVALLY (30x14),CA CHI VANG,F0151,YLW STRIPE TREVALLY,$2.10 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,63
QUAIL WHOLE DRESSED (36),CHIM CUT,F1106,POULTRY,$1.60 ,6 X 6 PC,USA,FARMED,9,VP,Retail,57.6
SQUAB 15/16oz (24),CHIM BO CAU,F1101,POULTRY,$13.40 ,1 X 24 PC,USA,FARMED,24,VP,Bulk,321.6
DH ANCHOVY 2/3 (22),CA COM KHO,C0161,DRIED & SALTED,$4.00 ,1 X 22 LB,VIETNAM,WILD,,Bulk,Bulk,88
DH BABY SQUID SKIN-ON (20x8),MUC KHO NHO,C0053,DRIED & SALTED,$6.40 ,20 X 8 OZ,VIETNAM,WILD,10,VP,Retail,128
DH BIG EYE HERRING (10),KHO CA TRICH,C0201,DRIED & SALTED,$4.95 ,1 X 10 LB,VIETNAM,WILD,10,Bulk,Bulk,49.5
DH FILE FISH (22),KHO CA BO,C0170,DRIED & SALTED,$6.80 ,1 X 22 LB,VIETNAM,WILD,22,Bulk,Bulk,149.6
DH KRILL (10),RUOC KHO,C0044,DRIED & SALTED,$7.50 ,1 X 10 LB,VIETNAM,WILD,10,Bulk,Bulk,75
DH KRILL (20),RUOC KHO TUI LE,C0041,DRIED & SALTED,$3.80 ,20 X 8 OZ,VIETNAM,WILD,10,VP,Retail,76
DH MUDFISH STRIPS (33),KHO CO LOC,C0065,DRIED & SALTED,$5.00 ,1 X 33 LB,VIETNAM,FARMED,33,VP,Bulk,165
DH SEASONED RIVERBARB (60),KHO CA HE,C0140,DRIED & SALTED,$3.50 ,60 X 10 OZ,VIETNAM,FARMED,37.5,VP,Retail,210
DRIED KRILL/SHRIMP LRG (80),TOM KHO,C0153,DRIED & SALTED,$2.00 ,80 X 3 OZ,VIETNAM,WILD,15,Bag,Retail,160
DRIED KRILL/SHRIMP MED (80),TOM KHO,C0152,DRIED & SALTED,$1.80 ,80 X 3 OZ,VIETNAM,WILD,15,Bag,Retail,144
FLVD SALTED CRAB MIX (24),BA KHIA TRON GIA VI,D0039,DRIED & SALTED,$3.70 ,24 X 12 OZ,VIETNAM,WILD,24,Jar,Retail,88.8
PREPARED CRAB JUICE (30),NUOC COT CUA DONG XAY LUOC VO,D0038,DRIED & SALTED,$2.35 ,30 X 12 OZ,VIETNAM,WILD,22.5,Bag,Retail,70.5
SALTED WHOLE CRAB (24),BA KHIA NGUYEN CON,D0037,DRIED & SALTED,$3.60 ,24 X 12 OZ,VIETNAM,WILD,18,Jar,Retail,86.4
SLT CONGER EEL FILET (30),KHO CA LAT,C0072,DRIED & SALTED,$5.40 ,30 X 12 OZ,VIETNAM,FARMED,22.5,VP,Retail,162
SLT CROAKER 40/U (40),KHO CA SUU,C0029,DRIED & SALTED,$5.60 ,1 X 40 LB,VIETNAM,WILD,40,VP,Bulk,224
SLT FW KRILL (24),CON RUOC,D0035,DRIED & SALTED,$2.20 ,24 X 16 OZ,VIETNAM,WILD,24,Jar,Retail,52.8
SLT KING  MACK FILLET (40),MAM CA THU,C0031,DRIED & SALTED,$8.70 ,1 X 40 LB,VIETNAM,WILD,40,VP,Bulk,348
SLT SABA MACK FILET (22),CA SABA NUC MUOI,C0037,DRIED & SALTED,$1.90 ,22 X 6.4 Z,TAIWAN,WILD,8.8,VP,Retail,41.8
GRAY/SILVER ANCHOVY 5/7 (30),CA COM THAN,F0390,ANCHOVY,$2.80 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,84
RIVER ANCHOVY (30),CA COM SONG,F0398,ANCHOVY,$2.55 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,76.5
WHT ANCHOVY H/L (30),CA COM TRANG,F0393,ANCHOVY,$2.80 ,30 X 14 OZ,VIETNAM,WILD,26.25,VP,Retail,84
AROMA SPICY GREEN CHILI (60),OT XIEM XANH,F0370,AGRICULTURAL,$1.15 ,60 X 7 OZ,VIETNAM,FARMED,26.25,Bag,Retail,69
CASSAVA WHOLE PEELED (30),KHOAI MI CU LAM SACH,F0855,AGRICULTURAL,$1.50 ,30 X 16 OZ,VIETNAM,FARMED,30,VP,Retail,45
GRATED CASSAVA (30),KHOAI MI BAO,F0856,AGRICULTURAL,$1.55 ,30 X 16 OZ,VIETNAM,FARMED,30,VP,Retail,46.5
GREEN CHILI (60),OT HIEM XANH,F0371,AGRICULTURAL,$1.15 ,60 X 7 OZ,VIETNAM,WILD,26.25,Bag,Retail,69
PALM NUT M 16/18 (40),CAU TUOI DAI,F0379,AGRICULTURAL,$3.50 ,40 X 16 OZ,VIETNAM,WILD,40,VP,Retail,140
PALM NUT S 18/24 (40),CAU TUOI DAI,F0378,AGRICULTURAL,$3.50 ,40 X 16 OZ,VIETNAM,WILD,40,VP,Retail,140
PALM NUT XS 25/30 (40),CAU TUOI NHO,F0377,AGRICULTURAL,$3.60 ,40 X 16 OZ,VIETNAM,WILD,40,VP,Retail,144
PALM NUT XXS 30/35 (40),CAU TUOI RAT NHO,F0376,AGRICULTURAL,$4.20 ,40 X 16 OZ,VIETNAM,WILD,40,VP,Retail,168
PURPLE CORN W/HUSK (24),BAP NEP TIM,F0851,AGRICULTURAL,$2.00 ,24 X 3 PC,VIETNAM,FARMED,36,VP,Retail,48
PURPLE YAM CHUNKS CLEANED (30),KHOAI MO TIM CAT KHUC,F08531,AGRICULTURAL,$1.80 ,30 X 16 OZ,VIETNAM,FARMED,30,VP,Retail,#N/A
PURPLE YAM GRATED (30),KHOAI MO TIM BAO,F0853,AGRICULTURAL,$1.90 ,30 X 16 OZ,VIETNAM,FARMED,30,VP,Retail,57
RED CHILLI (60x7),OT HIEM DO,F0372,AGRICULTURAL,$1.30 ,60 X 7 OZ,VIETNAM,FARMED,26.25,Bag,Retail,78
SLICED LEMON GRASS (24),SA BAO,F0373,AGRICULTURAL,$1.30 ,24 X 10 OZ,VIETNAM,WILD,18,Jar,Retail,31.2
WHITE CORN W/HUSK (24),BAP NEP TRANG,F0852,AGRICULTURAL,$1.85 ,24 X 3 PC,VIETNAM,FARMED,48,VP,Retail,44.4
YOUNG BLACK PEPPER (40),TIEU XANH,F0375,AGRICULTURAL,$1.30 ,40 X 4 OZ,VIETNAM,WILD,10,VP,Retail,52
FB SWAI FILET LP 10/12 (22),PHI LE CA BASA ,F1828,NEW JERSEY WAREHOUSE,$1.90 ,2 X 11 LB,VIETNAM,FARMED,22,Block,Bulk,41.8
FB SWAI FILET LP 8/10 (22),PHI LE CA BASA ,F1827,NEW JERSEY WAREHOUSE,$1.90 ,2 X 11 LB,VIETNAM,FARMED,22,Block,Bulk,41.8
MIXED SEAFOODS (24x16oz),HAI SAN THAP CAM,F0715,NEW JERSEY WAREHOUSE,$3.30 ,24 X 16 OZ,CHINA,WILD,24,Bag,Retail,0
PG SWAI FILET IQF 5/7,PHI LE CA BASA ,F1922,NEW JERSEY WAREHOUSE,$1.90 ,1 X 15 LB,VIETNAM,FARMED,15,IQF,Bulk,28.5
PG SWAI FILET IQF 7/9,PHI LE CA BASA ,F1923,NEW JERSEY WAREHOUSE,$1.90 ,1 X 15 LB,VIETNAM,FARMED,15,IQF,Bulk,28.5
PM TILAPIA FILET BULK 3/5 (10),PHI LE CA RO PHI ,F1066,NEW JERSEY WAREHOUSE,$2.25 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22
PM TILAPIA FILET BULK 5/7 (10),PHI LE CA RO PHI ,F1067,NEW JERSEY WAREHOUSE,$2.30 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22.5
PM TILAPIA FILET IVP 3/5 (10),PHI LE CA RO PHI ,F1061,NEW JERSEY WAREHOUSE,$2.35 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,22.5
PM TILAPIA FILET IVP 5/7 (10),PHI LE CA RO PHI ,F1062,NEW JERSEY WAREHOUSE,$2.40 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,23.5
PM TILAPIA FILET IVP 7/9 (10),PHI LE CA RO PHI ,F1063,NEW JERSEY WAREHOUSE,$2.45 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,24
SALMON PORTION PINK 4oz (10),CA HOI HONG CAT KHUC,F1121,NEW JERSEY WAREHOUSE,OOS,1 X 10 LB,CHINA,WILD,10,VP,Bulk,49
SALMON PORTION PINK 6oz (10),CA HOI HONG CAT KHUC,F1123,NEW JERSEY WAREHOUSE,OOS,1 X 10 LB,CHINA,WILD,10,VP,Bulk,#N/A
TILAPIA G&S CHN 550/750 (40),CA RO PHI CHN,F1053,NEW JERSEY WAREHOUSE,$1.35 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
TILAPIA G&S CHN 750/950 (40),CA RO PHI CHN,F1054,NEW JERSEY WAREHOUSE,$1.35 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
GOLDEN POMFRET 400/600 (40),CA CHIM VANG,F0050,MIAMI WAREHOUSE,$3.00 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,120
GOLDEN POMFRET 600/800 (40),CA CHIM VANG,F0051,MIAMI WAREHOUSE,$3.10 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,124
PM TILAPIA FILET BULK 3/5 (10),PHI LE CA RO PHI ,F1066,MIAMI WAREHOUSE,$2.25 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22
PM TILAPIA FILET BULK 5/7 (10),PHI LE CA RO PHI ,F1067,MIAMI WAREHOUSE,$2.30 ,1 X 10 LB,CHINA,FARMED,10,IQF,Bulk,22.5
PM TILAPIA FILET IVP 3/5 (10),PHI LE CA RO PHI ,F1061,MIAMI WAREHOUSE,$2.35 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,22.5
PM TILAPIA FILET IVP 5/7 (10),PHI LE CA RO PHI ,F1062,MIAMI WAREHOUSE,$2.40 ,1 X 10 LB,CHINA,FARMED,10,VP,Bulk,23.5
TILAPIA G&S CHN 550/750 (40),CA RO PHI CHN,F1053,MIAMI WAREHOUSE,$1.35 ,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
TILAPIA G&S CHN 750/950 (40),CA RO PHI CHN,F1054,MIAMI WAREHOUSE,OOS,1 X 40 LB,CHINA,FARMED,40,IWP,Bulk,54
